generation    1.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   4.03179e-01  1.99584e-01  5.39323e-03  1.58653e+00  1.28044e+00  1.35834e-06  1.50000e+01  0.00000e+00 
   3.81916e-01  5.31561e-01  1.53671e-03  8.59241e-01  1.11478e+00  3.87038e-07  7.00000e+00  0.00000e+00 
   3.86546e-01  6.26568e-01  9.02415e-03  1.13946e+00  7.24795e-01  2.27283e-06  2.60000e+01  0.00000e+00 
   3.15476e-01  1.75645e-01  6.04624e-03  1.37365e+00  1.38933e+00  1.52281e-06  1.70000e+01  0.00000e+00 
   4.46915e-01  5.46287e-01  1.08597e-02  1.77080e+00  1.16682e+00  2.87359e-06  3.50000e+01  0.00000e+00 
   3.27383e-01  4.73094e-01  6.82199e-04  7.56891e-01  1.18719e+00  1.71821e-07  2.00000e+00  0.00000e+00 
   4.12170e-01  5.99943e-01  1.11194e-02  1.57442e+00  1.28173e+00  2.97331e-06  3.70000e+01  0.00000e+00 
   3.53864e-01  4.31491e-01  7.03727e-03  8.25585e-01  1.18117e+00  1.77241e-06  1.80000e+01  0.00000e+00 
   3.97456e-01  2.48826e-01  7.62786e-03  4.27864e-01  1.19043e+00  1.92116e-06  2.10000e+01  0.00000e+00 
   3.36009e-01  5.78679e-01  8.84532e-03  1.18868e+00  1.37718e+00  2.22779e-06  2.40000e+01  0.00000e+00 
   4.32159e-01  4.84648e-01  5.29705e-03  1.12288e+00  8.96742e-01  1.33412e-06  1.40000e+01  0.00000e+00 
   3.11735e-01  1.41944e-01  2.61493e-03  8.41328e-01  1.27377e+00  6.58598e-07  1.00000e+01  0.00000e+00 
   3.14946e-01  4.18485e-01  9.13607e-03  5.61645e-01  1.39456e+00  2.30102e-06  2.70000e+01  0.00000e+00 
   3.47530e-01  2.97266e-01  2.93085e-03  1.52007e-01  1.14315e+00  7.38166e-07  1.10000e+01  0.00000e+00 
   4.43470e-01  4.53184e-01  7.95619e-03  1.54844e+00  1.00769e+00  2.00385e-06  2.20000e+01  0.00000e+00 
   4.30581e-01  1.43397e-01  2.49107e-04  1.66306e+00  1.11572e+00  6.49474e-08  0.00000e+00  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  1.79809e+00  8.52780e-01  3.73747e-07  6.00000e+00  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  8.09675e-01  4.58218e-07  8.00000e+00  0.00000e+00 
   3.78899e-01  1.51634e-01  2.46812e-03  1.20054e+00  1.32316e+00  6.21623e-07  9.00000e+00  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  1.40000e+00  2.00489e-07  3.00000e+00  0.00000e+00 
   3.71610e-01  4.77323e-01  4.50446e-03  9.33854e-01  1.36656e+00  1.13450e-06  1.20000e+01  0.00000e+00 
   3.44124e-01  2.39357e-01  7.09696e-03  4.55055e-01  8.06673e-01  1.78745e-06  1.90000e+01  0.00000e+00 
   3.95919e-01  5.55841e-01  1.30307e-03  2.60126e-01  1.06415e+00  3.21511e-07  5.00000e+00  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  8.23347e-01  2.06488e-07  4.00000e+00  0.00000e+00 
   4.09822e-01  1.75285e-01  9.56295e-03  3.12101e-01  1.22155e+00  2.40853e-06  3.10000e+01  0.00000e+00 
   4.26028e-01  3.36630e-01  9.44057e-03  1.44122e+00  1.33815e+00  2.37771e-06  3.00000e+01  0.00000e+00 
   4.08143e-01  2.70576e-01  8.91470e-03  1.15916e+00  9.47834e-01  2.24526e-06  2.50000e+01  0.00000e+00 
   4.17900e-01  2.84475e-01  5.47500e-03  4.22470e-01  8.31273e-01  1.37894e-06  1.60000e+01  0.00000e+00 
   4.38595e-01  3.39062e-01  9.81425e-03  1.23791e+00  1.33768e+00  2.47182e-06  3.20000e+01  0.00000e+00 
   3.41435e-01  4.33866e-01  5.11472e-03  3.21901e-01  1.33476e+00  1.28820e-06  1.30000e+01  0.00000e+00 
   3.35742e-01  6.82380e-01  1.08461e-02  1.53464e+00  8.86666e-01  2.87260e-06  3.40000e+01  0.00000e+00 
   3.80964e-01  3.25124e-01  9.17094e-03  9.32313e-01  1.16741e+00  2.30980e-06  2.80000e+01  0.00000e+00 
