generation    1.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.53864e-01  4.31491e-01  8.21487e-03  8.42008e-01  6.97788e-06  1.00000e+01  0.00000e+00 
   3.24470e-01  3.35014e-01  1.12172e-02  1.48447e+00  2.87453e-05  3.70000e+01  1.00000e+00 
   4.49999e-01  2.22597e-01  1.10096e-02  2.69570e-01  1.86087e-05  2.40000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  4.23508e-03  1.45731e+00  5.39673e-06  6.00000e+00  0.00000e+00 
   3.11179e-01  6.70062e-01  3.47276e-03  9.62736e-01  1.43550e-05  2.00000e+01  0.00000e+00 
   3.15476e-01  1.75645e-01  7.45900e-03  1.38083e+00  5.48324e-06  7.00000e+00  0.00000e+00 
   4.49670e-01  1.32435e-01  1.08349e-02  1.76575e-01  1.94256e-05  2.50000e+01  0.00000e+00 
   3.26432e-01  2.44037e-01  1.01802e-02  1.33215e+00  2.71393e-05  3.30000e+01  1.00000e+00 
   3.98596e-01  6.15206e-01  6.95604e-03  1.66695e+00  7.78080e-06  1.20000e+01  0.00000e+00 
   3.00624e-01  6.53841e-01  8.34503e-03  3.65651e-01  2.23344e-05  2.80000e+01  0.00000e+00 
   3.59765e-01  5.88860e-01  9.15797e-03  1.64420e+00  1.72173e-05  2.20000e+01  0.00000e+00 
   3.85998e-01  5.53349e-01  3.46745e-03  3.26162e-01  6.81071e-05  3.90000e+01  1.00000e+00 
   3.79012e-01  5.61948e-01  6.60206e-03  1.61018e+00  4.93613e-06  5.00000e+00  0.00000e+00 
   3.14022e-01  1.80941e-01  7.68189e-03  1.86906e-01  8.18284e-06  1.40000e+01  0.00000e+00 
   3.74037e-01  6.83665e-01  5.63265e-03  1.39988e+00  6.76107e-06  9.00000e+00  0.00000e+00 
   3.95357e-01  5.30378e-01  4.27442e-03  1.11220e+00  3.86534e-06  1.00000e+00  0.00000e+00 
   4.03179e-01  1.99584e-01  6.96094e-03  1.59013e+00  4.42512e-06  2.00000e+00  0.00000e+00 
   4.36747e-01  2.18531e-01  6.01700e-03  1.39440e+00  4.83378e-06  4.00000e+00  0.00000e+00 
   4.49839e-01  2.30954e-01  7.61639e-03  1.51845e+00  5.54818e-06  8.00000e+00  0.00000e+00 
   4.47713e-01  6.61002e-01  9.16001e-03  7.20580e-01  1.83613e-05  2.30000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  6.37686e-03  1.38044e+00  2.86392e-06  0.00000e+00  0.00000e+00 
   4.12466e-01  3.21198e-01  5.64744e-03  4.56458e-01  7.34055e-06  1.10000e+01  0.00000e+00 
   3.22149e-01  6.28637e-01  8.76973e-03  8.05918e-01  2.26062e-05  2.90000e+01  0.00000e+00 
   3.92939e-01  2.68636e-01  1.00740e-02  5.88051e-01  1.67219e-05  2.10000e+01  0.00000e+00 
   3.72374e-01  2.29495e-01  1.15523e-02  1.66022e+00  2.81458e-05  3.60000e+01  1.00000e+00 
   3.67055e-01  2.35664e-01  4.68780e-03  5.33411e-01  8.09781e-06  1.30000e+01  0.00000e+00 
   3.41666e-01  4.32382e-01  7.29657e-03  1.15052e+00  4.74956e-06  3.00000e+00  0.00000e+00 
   4.26028e-01  3.36630e-01  1.00479e-02  1.44727e+00  2.59975e-05  3.00000e+01  1.00000e+00 
   3.52554e-01  5.12002e-01  1.16082e-02  1.08012e+00  2.69653e-05  3.20000e+01  1.00000e+00 
