generation    1.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   4.82329e-01  2.18531e-01  4.68745e-03  1.54805e+00  4.91544e-06  6.00000e+00  0.00000e+00 
   4.05349e-01  5.61948e-01  5.40251e-03  1.78848e+00  3.00797e-06  2.00000e+00  0.00000e+00 
   4.65840e-01  2.98202e-01  3.51865e-03  1.79208e+00  5.19596e-06  7.00000e+00  0.00000e+00 
   4.16898e-01  2.46648e-01  2.67629e-03  1.47769e+00  8.25195e-06  1.30000e+01  0.00000e+00 
   3.32626e-01  3.35014e-01  1.10433e-02  1.64841e+00  2.84709e-05  3.60000e+01  1.00000e+00 
   3.20634e-01  1.75645e-01  6.44988e-03  1.53293e+00  4.46437e-06  5.00000e+00  0.00000e+00 
   3.98717e-01  6.83665e-01  4.21768e-03  1.55415e+00  6.63097e-06  8.00000e+00  0.00000e+00 
   4.99560e-01  1.32435e-01  1.05759e-02  1.91041e-01  1.86286e-05  2.40000e+01  0.00000e+00 
   3.35242e-01  2.44037e-01  9.77578e-03  1.47868e+00  2.31559e-05  2.80000e+01  0.00000e+00 
   3.53333e-01  4.23856e-01  5.12728e-03  1.53249e+00  2.61205e-06  1.00000e+00  0.00000e+00 
   4.99999e-01  2.22597e-01  1.07895e-02  2.94664e-01  1.86213e-05  2.30000e+01  0.00000e+00 
   4.37572e-01  1.99584e-01  5.84115e-03  1.76615e+00  4.06317e-06  3.00000e+00  0.00000e+00 
   3.00832e-01  6.53841e-01  7.53281e-03  4.01726e-01  1.82108e-05  2.20000e+01  0.00000e+00 
   3.79687e-01  5.88860e-01  8.52640e-03  1.82640e+00  1.30014e-05  1.90000e+01  0.00000e+00 
   4.14664e-01  5.53349e-01  1.57133e-03  3.57724e-01  1.18255e-03  3.90000e+01  1.00000e+00 
   4.99785e-01  2.30954e-01  6.64226e-03  1.68627e+00  4.08592e-06  4.00000e+00  0.00000e+00 
   3.18696e-01  1.80941e-01  6.72231e-03  2.02553e-01  7.63069e-06  1.10000e+01  0.00000e+00 
   3.14906e-01  6.70062e-01  1.57782e-03  1.06705e+00  2.55800e-05  3.10000e+01  1.00000e+00 
   3.03260e-01  2.45732e-01  2.50955e-03  1.61814e+00  7.90899e-06  1.20000e+01  0.00000e+00 
   4.96950e-01  6.61002e-01  8.52890e-03  7.97217e-01  1.44456e-05  2.00000e+01  0.00000e+00 
   4.49954e-01  3.21198e-01  4.23576e-03  5.02910e-01  8.36771e-06  1.40000e+01  0.00000e+00 
   3.55555e-01  4.32382e-01  6.25137e-03  1.27630e+00  2.59563e-06  0.00000e+00  0.00000e+00 
   3.29532e-01  6.28637e-01  8.05189e-03  8.92309e-01  1.78482e-05  2.10000e+01  0.00000e+00 
   3.56663e-01  3.11475e-01  9.88497e-03  1.84210e+00  2.52616e-05  3.00000e+01  1.00000e+00 
   4.23919e-01  2.68636e-01  9.64602e-03  6.49543e-01  1.29079e-05  1.80000e+01  0.00000e+00 
   3.96498e-01  2.29495e-01  1.14528e-02  1.84425e+00  2.80101e-05  3.50000e+01  1.00000e+00 
   3.89407e-01  2.35664e-01  3.06286e-03  5.88658e-01  1.09954e-05  1.70000e+01  0.00000e+00 
   4.68038e-01  3.36630e-01  9.61409e-03  1.60696e+00  1.97726e-05  2.60000e+01  0.00000e+00 
   4.27142e-01  5.30378e-01  2.55763e-03  1.23359e+00  9.72910e-06  1.60000e+01  0.00000e+00 
   3.70072e-01  5.12002e-01  1.15212e-02  1.19785e+00  2.56582e-05  3.20000e+01  1.00000e+00 
   4.22528e-01  2.77619e-01  8.01307e-03  1.07236e+00  6.76455e-06  9.00000e+00  0.00000e+00 
   3.72957e-01  4.08041e-01  1.14745e-02  1.83658e+00  2.69486e-05  3.40000e+01  1.00000e+00 
   3.47656e-01  6.82380e-01  1.09243e-02  1.70929e+00  1.99428e-05  2.70000e+01  0.00000e+00 
   3.87528e-01  6.59101e-01  1.12389e-02  1.45586e+00  1.97576e-05  2.50000e+01  0.00000e+00 
   3.56859e-01  5.43121e-01  8.03977e-03  7.40395e-01  7.31946e-06  1.00000e+01  0.00000e+00 
   3.38443e-01  4.97936e-01  1.07926e-02  7.30341e-01  2.64150e-05  3.30000e+01  1.00000e+00 
   3.13951e-01  6.69596e-01  6.78595e-03  2.17809e-01  4.30057e-05  3.70000e+01  1.00000e+00 
   3.31336e-01  3.40567e-01  2.42769e-03  2.62177e-01  8.56018e-05  3.80000e+01  1.00000e+00 
   3.12834e-01  1.12014e-01  6.03472e-03  1.73037e-01  8.85195e-06  1.50000e+01  0.00000e+00 
   4.02507e-01  5.00634e-01  6.84767e-03  1.26597e-01  2.33466e-05  2.90000e+01  0.00000e+00 
                                                                                      
