   position        avgx        avgy        avgz        stdx        stdy        stdt        avgG    nemixrms    nemiyrms    nemirrms        rmax 
 1.500e+00 -2.314e-06 -1.324e-06  1.500e+00  5.073e-03  5.065e-03  4.076e-10  1.880e+00  5.451e-06  5.460e-06  5.455e-06  1.232e-02 
 1.450e+00 -2.134e-06 -1.234e-06  1.450e+00  4.651e-03  4.644e-03  4.075e-10  1.880e+00  5.123e-06  5.135e-06  5.129e-06  1.140e-02 
 1.400e+00 -1.955e-06 -1.146e-06  1.400e+00  4.243e-03  4.236e-03  4.074e-10  1.880e+00  4.774e-06  4.788e-06  4.781e-06  1.050e-02 
 1.350e+00 -1.777e-06 -1.059e-06  1.350e+00  3.849e-03  3.842e-03  4.072e-10  1.880e+00  4.402e-06  4.417e-06  4.409e-06  9.622e-03 
 1.250e+00 -1.435e-06 -8.920e-07  1.250e+00  3.113e-03  3.107e-03  4.070e-10  1.880e+00  3.588e-06  3.602e-06  3.595e-06  7.908e-03 
 1.200e+00 -1.272e-06 -8.131e-07  1.200e+00  2.774e-03  2.768e-03  4.068e-10  1.880e+00  3.152e-06  3.163e-06  3.157e-06  7.091e-03 
 1.150e+00 -1.118e-06 -7.388e-07  1.150e+00  2.457e-03  2.453e-03  4.067e-10  1.880e+00  2.709e-06  2.715e-06  2.712e-06  6.411e-03 
 1.050e+00 -8.369e-07 -6.032e-07  1.050e+00  1.905e-03  1.901e-03  4.065e-10  1.880e+00  1.952e-06  1.933e-06  1.942e-06  5.172e-03 
 9.500e-01 -5.935e-07 -4.821e-07  9.500e-01  1.486e-03  1.483e-03  4.063e-10  1.880e+00  1.883e-06  1.842e-06  1.862e-06  4.122e-03 
 9.000e-01 -4.816e-07 -4.279e-07  9.000e-01  1.337e-03  1.335e-03  4.062e-10  1.880e+00  2.176e-06  2.138e-06  2.157e-06  3.684e-03 
 8.500e-01 -3.735e-07 -3.780e-07  8.500e-01  1.237e-03  1.236e-03  4.061e-10  1.880e+00  2.538e-06  2.506e-06  2.522e-06  3.314e-03 
 8.000e-01 -2.705e-07 -3.301e-07  8.000e-01  1.191e-03  1.189e-03  4.060e-10  1.880e+00  2.841e-06  2.817e-06  2.829e-06  3.018e-03 
 7.500e-01 -1.700e-07 -2.842e-07  7.500e-01  1.200e-03  1.200e-03  4.059e-10  1.880e+00  3.005e-06  2.986e-06  2.996e-06  2.804e-03 
 7.000e-01 -7.141e-08 -2.408e-07  7.000e-01  1.267e-03  1.266e-03  4.058e-10  1.880e+00  3.009e-06  2.990e-06  2.999e-06  2.780e-03 
 6.500e-01  2.734e-08 -2.005e-07  6.500e-01  1.387e-03  1.386e-03  4.058e-10  1.880e+00  2.864e-06  2.840e-06  2.852e-06  3.100e-03 
 6.000e-01  1.237e-07 -1.619e-07  6.000e-01  1.554e-03  1.554e-03  4.057e-10  1.880e+00  2.615e-06  2.585e-06  2.600e-06  3.562e-03 
 5.500e-01  2.191e-07 -1.211e-07  5.500e-01  1.764e-03  1.764e-03  4.056e-10  1.880e+00  2.336e-06  2.301e-06  2.299e-06  4.091e-03 
 5.000e-01  3.127e-07 -7.900e-08  5.000e-01  2.009e-03  2.010e-03  4.056e-10  1.880e+00  2.817e-06  2.786e-06  2.009e-06  4.689e-03 
