       time        avgz        avgy        avgx        avgG      avgfEz      avgfEy      avgfEx      avgfBx      avgfBy      avgfBz        stdx        stdy        stdz    nemixrms    nemiyrms    nemirrms        stdG        rmax 
-6.900e-10  2.800e-05  2.302e-05  2.604e-05  1.000e+00 -4.851e+06 -2.378e+01 -1.682e+01 -7.477e-09 -8.221e-08  1.438e-08  2.082e-03  2.295e-03  2.390e-05  9.806e-07  1.181e-06  1.072e-06  2.270e-04  4.331e-03 
-6.700e-10  1.651e-04  6.678e-05  7.129e-05  1.002e+00 -4.780e+06 -1.071e+01 -4.275e+00  3.289e-09 -1.641e-09 -6.822e-13  2.150e-03  2.206e-03  1.454e-04  1.258e-06  1.157e-06  1.204e-06  1.385e-03  4.336e-03 
-6.500e-10  4.103e-04  1.734e-05  3.131e-05  1.004e+00 -4.752e+06  1.667e+02  1.072e+02 -7.041e-09 -1.888e-08  9.600e-13  2.154e-03  2.184e-03  3.679e-04  1.183e-06  1.151e-06  1.167e-06  3.502e-03  4.334e-03 
-6.300e-10  7.650e-04  1.437e-05 -1.079e-05  1.007e+00 -4.748e+06  2.818e+02  3.450e+02 -7.412e-10  2.404e-09  7.656e-14  2.163e-03  2.193e-03  6.887e-04  1.189e-06  1.199e-06  1.193e-06  6.582e-03  4.346e-03 
-6.100e-10  1.230e-03  2.532e-05  5.122e-06  1.012e+00 -4.775e+06  3.481e+02  5.045e+02  2.977e-08  3.780e-08  1.589e-12  2.174e-03  2.178e-03  1.106e-03  1.403e-06  1.503e-06  1.451e-06  1.066e-02  4.348e-03 
-5.900e-10  1.794e-03  4.601e-06 -2.867e-06  1.017e+00 -4.826e+06  4.605e+02  4.081e+02  3.198e-08  5.222e-09  1.531e-12  2.165e-03  2.185e-03  1.620e-03  1.921e-06  2.121e-06  2.018e-06  1.584e-02  4.351e-03 
-5.700e-10  2.472e-03 -9.619e-06 -6.650e-06  1.024e+00 -4.911e+06  3.780e+02  3.079e+02  1.186e-07  1.337e-09  6.223e-12  2.166e-03  2.174e-03  2.228e-03  2.755e-06  3.000e-06  2.875e-06  2.224e-02  4.352e-03 
-5.500e-10  3.245e-03 -1.255e-05 -4.235e-06  1.032e+00 -5.023e+06  4.424e+02 -4.300e+01  5.779e-08 -1.235e-07 -3.329e-12  2.150e-03  2.177e-03  2.931e-03  3.754e-06  4.093e-06  3.919e-06  3.008e-02  4.352e-03 
-5.300e-10  4.135e-03 -1.172e-06 -1.212e-05  1.042e+00 -5.167e+06  4.059e+02 -1.651e+01 -6.846e-09  2.435e-08  1.717e-12  2.157e-03  2.159e-03  3.728e-03  4.922e-06  5.188e-06  5.053e-06  3.957e-02  4.354e-03 
-5.100e-10  5.118e-03 -1.345e-05  7.226e-07  1.053e+00 -5.331e+06  2.848e+02 -2.486e+02 -5.133e-08 -5.704e-08 -5.583e-12  2.152e-03  2.147e-03  4.620e-03  6.069e-06  6.294e-06  6.180e-06  5.097e-02  4.356e-03 
-4.900e-10  6.212e-03 -4.663e-06 -9.532e-06  1.066e+00 -5.519e+06  9.276e+01 -1.217e+02 -7.526e-08  1.208e-07  7.695e-12  2.141e-03  2.140e-03  5.604e-03  7.109e-06  7.354e-06  7.231e-06  6.452e-02  4.355e-03 
-4.700e-10  7.401e-03 -1.153e-06 -2.704e-06  1.081e+00 -5.724e+06 -1.968e+02 -1.244e+02  3.030e-08  1.418e-07  6.929e-12  2.125e-03  2.125e-03  6.679e-03  8.050e-06  8.265e-06  8.157e-06  8.043e-02  4.348e-03 
